Business Name,Business Type,Physical Location/Address,Business Zipcode,Business Website,Business Phone Number,Business Email,Other Information
CRECK HEALTH & BEAUTY,"apperal ,beauty and health supplies",123A Alexander st,2125,,6175300626,raysamw@yahoo.com,Minority-owned
Not yet,"Retail, Handmade",Not yet,2155,,860 338 2051,Sopra787@gmail.com,N/A
Abali Samiraâs daycare,Education,120 Ashland st  Melrose ,2176,,781-985-0851,abalisamira@hotmail.com,Minority-owned
"Advocacy for Special Kids, LLC",Education,25 Braintree Hill Office Park Suite 200 ,2184,http://asktheadvocate.org,7814284970,maureen@asktheadvocat.org,N/A
Alexis Frobin Acupuncture,Healthcare,1532b Dorchester Ave,2122,http://www.alexisfrobinacu.com,917-968-2639,Alexis.frobin@gmail.com,N/A
Alexis Frobin Acupuncture,Healthcare,1532b Dorchester Ave,2122,http://www.alexisfrobinacu.com,9179682639,alexis.frobin@gmail.com,N/A
All Fit Alteration,Retail,"138 newbury Street, second floor",2116,,6172361984,allfittailoring@yahoo.com,"Minority-owned, Immigrant-owned"
All Things Visual,Website Design,,2136,https://queentemi.wordpress.com/,,allthingsvisual1@gmail.com,Minority-owned
Alves l Santos P.C.,Professional Services,"37 Belmont St, Suite203",2301,,7742039751,Santos@alvessantoslaw.com,"Minority-owned, Immigrant-owned"
Alves l Santos P.C.,Professional Services,"37 Belmont St, Suite203",2301,,7742039751,Santos@alvessantoslaw.com,"Minority-owned, Immigrant-owned"
Amorino Gelato,Food and Beverage,"249 Newbury Street, Boston, MA, 02116",2116,,6175853185,amorino101@gmail.com,Immigrant-owned
andreas vault,Retail,44 linden street,2122,https://andreasvault.com,7818282888,info@andreasvault.com,Minority-owned
"Arredondo Family Foundation, Inc.",Suicide Prevention - Military and for Spanish speakers,"4258 Washington Street, Suite 11",2131,https://arredondofoundation.org/,6176372054,melida@arredondofoundation.org,Minority-owned
"Bento Real Estate Group, Inc. ",Real Estate Broker/Owner,685 East 5th Street,2127,http://www.bentorealestate.com/,617-901-9671,darcy@bentorealestate.com,N/A
Boston Chinatown Tours,"Tourism, Food, Culture, History of Boston's Chinatown",116 Lincoln St,2111,https://www.jacquelinechurch.com/chinatown-tours,6178514880,jacquelinechurch.consulting@gmail.com,Minority-owned
Boston Kids,Retail,Faneuil Hall Marketplace,2109,,6176885967,susanluongo@outlook.com,N/A
Boston Sports Leagues,Recreational sports and social events,30 Newbury Street- 3rd Fl,2116,https://www.BostonSportsLeagues.com,6176515000,info@bostonsportsleagues.com,N/A
Break of Dawn catering,"Creative Economy, Food and Beverage, Restaurant & Catering",80 West Dedham St. 1506 Boston Ma.,2118,,6178176130,Amstrokes617@gmail.com,Minority-owned
Cityhome ,"Restaurant & Catering, Retail",Commercial Wharf,2110,https://shopcityhome.com/,6788004313,rachel@shopcityhome.com,N/A
CravenRaven Boutique ,Retail,20 Thatcher St,2136,https://cravenravenboutique.com/,8573184391,Officialcravenraven.com,Minority-owned
Curious Turk,Education,211 WACHUSETT ST,2130,https://www.ecegurler.com/,7737176243,info@ecegurler.com,Minority-owned
D & D Towing,Towing,1 Ellery st,2127,,617-464-8697,dwhe605849@aol.com,N/A
D&A Solutions,"Clean-tech/Green-tech, Cleaning Company ",29 Tarbox st,2136,https://dasolutionsco.com/,6173099762,cleanedbydas@gmail.com,Minority-owned
Eye Adore Threading,Salon,120 Charles Street,2114,http://www.eyeadorethreading.com,857-263-8054,hello@eyeadorethreading.com,"Minority-owned, Immigrant-owned"
Eye Adore Threading,Salon,467 Shawmut Ave.,2118,http://www.eyeadorethreading.com,857-991-1020,hello@eyeadorethreading.com,"Minority-owned, Immigrant-owned"
Fatou Sy,Cleaning,160 Crawford St ,2121,,6175293718,Fatousy1229@gmail.com ,Minority-owned
Flair Boston,Retail,140 Newbury Street,2116,https://flairbridesmaid.com/,16172472828,Stacey@flairbridesmaid.com,N/A
FLORECEN,Education,161 South Huntington Avenue,2130,,6175960038,deniseflores7@gmail.com,Minority-owned
FLOW,Creative Economy,61 Ridgewood St. ,2122,,617-372-4675,ladyflowceo@gmail.com,N/A
Fountain Street,Creative Economy,"4Â§0C Harrison Ave, Boston",2118,https://www.fsfaboston.com/,7742861800,director@fsfaboston.com,N/A
Full Moon Botanica,Health & Wellness,"38 Gleason St, Boston, MA",2121,https://the-full-moon-botanica.myshopify.com/,857-209-8008,info@thefullmoonbotanica.com,Minority-owned
Fynerthings Gifts,Retail,19 old Morton at ,2126,,8454611421,Fynerthings@gmail.com,Minority-owned
Gabriela Salas,Professional Services,18 Baker St,2132,https://brandswithapurpose.com/,6178701379,gaby@brandswithapurpose.com,Minority-owned
Gem Am I,Retail,98 crestwood park,2121,,8573089875,tlgmk123@gmail.com,Minority-owned
Hablo EspaÃ±ol ,Education,161 South Huntington Avenue,2130,,6175960038,hehabloespanol@gmail.com,Minority-owned
HAI Analytics,"Education, Professional Services, Technology, Data science / predictive modeling",67 2nd Street,2155,https://haianalytics.com/,6179344556,ecoleman@haianalytics.com,N/A
Happy Hangups,Retail,Faneuil Hall Marketplace,2109,,6176885967,happyhangups@outlook.com,N/A
"Holistically You, Inc.","Education, Healthcare, Professional Services","100A Warren Street, Suite 1, Roxbury",2119,http://www.holisticallyyouinc.com,6172866861,vanessa@holisticallyyouinc.com,Minority-owned
